team,abv,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Arizona DiamondBacks,ARI,106,125,103,111,118,158,145,79,110,86,119
Atlanta Braves,ATL,106,127,125,137,141,133,150,77,175,180,206
Baltimore Orioles,BAL,112,122,137,162,183,161,103,43,66,49,71
Boston Red Sox,BOS,186,182,208,205,209,247,246,95,210,211,183
Chicago Cubs,CHC,129,111,154,189,186,195,228,100,172,151,190
Chicago White Sox,CWS,132,112,135,142,119,99,117,72,160,203,162
Cincinnati Reds,CIN,127,130,134,120,118,119,148,70,153,115,97
Cleveland Guardians,CLE,101,101,103,118,144,157,136,53,70,66,92
Colorado Rockies,COL,96,114,129,127,148,155,163,84,136,140,171
Detroit Tigers,DET,163,184,169,210,216,148,136,63,115,136,121
Houston Astros,HOU,49,70,107,125,141,178,176,91,209,184,237
Kansas City Royals,KC,102,113,141,156,168,140,122,53,108,93,96
Los Angeles Angels,LAA,151,182,162,175,188,206,197,79,200,180,230
Los Angeles Dodgers,LAD,243,268,346,275,261,208,217,121,288,270,240
Miami Marlins,MIA,65,72,81,100,143,121,98,49,82,83,105
Milwaukee Brewers,MIL,103,126,116,85,85,113,141,53,121,130,125
Minnesota Twins,MIN,97,106,125,123,133,151,144,66,141,149,156
New York Mets,NYM,111,105,119,156,171,159,171,96,215,268,343
New York Yankees,NYY,225,241,241,241,220,193,220,122,223,252,279
Oakland Athletics,OAK,81,102,98,108,99,87,111,48,108,48,62
Philadelphia Phillies,PHI,178,198,164,126,119,120,182,93,210,244,245
Pittsburgh Pirates,PIT,88,92,111,115,118,109,95,44,74,56,69
San Diego Padres,SD,87,102,122,143,102,124,141,90,199,225,256
San Francisco Giants,SF,153,176,198,193,198,219,192,89,191,162,187
Seattle Mariners,SEA,104,121,139,161,174,174,163,67,104,116,134
St Louis Cardinals,STL,133,133,145,173,165,176,182,88,191,156,154
Tampa Bay Rays,TB,79,94,92,80,98,104,87,42,92,98,79
Texas Rangers,TEX,161,164,181,180,171,162,146,78,118,150,251
Toronto Blue Jays,TOR,135,154,148,164,180,178,135,71,168,177,214
Washington Nationals,WAS,131,153,179,167,186,199,215,88,167,126,93
